"patient","DDR1","RFC2","HSPA6","PAX8","GUCA1A","UBA7","THRA","PTPN21","CCL5","CYP2E1","EPHB3","ESRRA","CYP2A6","SCARB1","TTLL12","WFDC2","MAPK1","ADAM32","SPATA17","PRR22","PXK","VPS18","SLC46A1","TIMD4","SLC39A5","ZDHHC11","ATP6V1E2","AFG3L1P","CILP2","PIGX","TMEM196","SLC39A13","BEST4","CORO6","TMEM106A","ALG10","TTC39C","NEXN","C15orf40","RAX2","MFAP3","EYA3","GIMAP1","KLK8","CCDC65","FAM122C","ARMCX4","RBBP6","CENPBD1","TRIOBP","CATSPER1","HOXD4","GSC","SP7","PDE7A","CNOT7","CRYZL1","PRSS33","C19orf26","TIRAP","LEAP2","MSI2","SCIN","CTCFL","C4orf33","ZNF333","RDH10","SRSF12","FAM71A","GAPT","ENTHD1","TSSK3","WFDC6","CLEC12A","BRF1","C15orf27","CALML6","NLRP5","ODF4","CLEC4F","WFDC9","NEDD1","TTLL10","CALR3","C10orf25","ETV3","KLHL10","TM2D3","ZNF485","WDR17","MFSD6L","CDH23","ANKAR","MEGF11","GPR182","ESX1","SCGB1C1","DNAJC5G","WDR88","FAM86B1","cancer_code","result","index"
"GSM627990",1.329,0.995,-0.411,0.849,-1.155,-0.004,-0.537,-0.442,-1.288,-1.124,-0.089,0.932,0.057,2.091,1.287,-0.712,-0.017,-1.238,-1.124,0.138,-0.109,0.136,0.617,-1.097,0.949,-0.869,-0.323,0.448,-0.885,-0.071,-0.483,0.572,-0.489,-0.764,-0.711,-0.523,1.33,-0.396,0.247,0.281,0.485,-0.425,-0.337,0.234,-1.209,-1.381,-1.192,0.164,0.525,0.496,-0.327,-0.798,-0.621,-0.491,-0.378,0.818,0.115,-0.102,-0.283,-0.374,1.195,0.325,-1.45,-1.117,-0.903,-1.06,0.156,-1.188,0.418,-1.276,-1.263,0.68,-0.937,-1.154,-0.585,-0.608,-1.04,-0.679,-1.192,-0.762,-1.227,0.291,-0.4,-1.08,-0.76,-0.287,-1.03,1.337,-1.185,-1.392,-0.013,-0.228,-1.218,-1.358,-0.909,-1.154,-1.006,-0.364,-1.144,0.83,"LIHC",1,1
"GSM468802",1.424,0.117,0.019,1.094,-1.043,0.569,0.182,-0.268,0.186,-0.128,-0.328,0.6,0.367,0.24,1.173,-1.772,-0.126,0.214,-1.202,-1.229,0.17,-0.957,-0.204,-0.134,-0.047,-0.369,-1.827,0.381,-0.705,0.523,-0.885,1.219,-1.79,0.059,-0.41,-0.416,0.257,0.454,0.514,-0.563,0.202,-0.27,-0.922,-0.517,-0.482,-0.421,-0.127,0.315,0.412,-0.514,-0.132,-1.217,-1.922,-1.416,-0.38,-0.548,0.518,0.055,-1.116,-0.041,0.258,0.211,-1.867,-0.685,-1.473,-0.004,-0.069,-1.425,-0.421,-0.888,0.909,-0.843,-0.864,-1.52,-1.608,-0.09,-0.948,-0.109,-0.672,0.001,-0.7,-0.4,-0.853,-0.446,-0.384,1.118,-1.946,1.795,-0.732,-0.963,-1.488,-1.493,-0.456,-1.934,-0.653,-0.205,-1.79,0.268,-0.913,0.323,"BRCA",0,2
"GSM534458",0.697,0.093,0.037,0.541,-0.728,0.669,-0.106,-0.759,0.085,2.973,-0.171,0.706,2.097,1.491,0.885,-0.146,0.125,-0.658,-1.239,-1.15,-0.694,-0.456,-0.065,0.771,1.12,0.559,-0.255,0.586,-0.434,0.123,-0.149,-0.102,-1.174,0.13,0.415,0.056,1.092,0.766,0.626,-0.013,0.107,-0.176,0.287,-0.345,-0.62,-0.815,0.201,0.496,0.229,-0.223,-0.959,-1.533,-1.533,-0.221,0.155,0.153,0.409,-0.471,-1.442,0.363,2.464,-0.091,-0.649,-0.589,-0.542,0.064,0.139,-1.15,-0.034,-0.223,-1.533,-0.624,-1.162,0.422,-0.236,-0.043,-0.423,-1.789,-0.518,-0.549,-1.615,-0.076,-1.347,-1.347,0.521,0.104,-1.88,2.054,-0.578,-0.839,-0.913,-1.615,-1.298,-1.268,0.726,-0.515,-1.509,-0.084,-0.975,-0.138,"LIHC",0,3
"GSM542578",0.073,0.538,-0.672,0.716,-1.54,1.24,0.803,-1.461,2.474,-0.008,-1.054,0.61,0.211,-0.204,0.578,-1.54,0.613,-0.701,-1.486,-1.28,0.779,-0.073,-0.923,-0.882,0.223,-0.099,0.532,0.944,-1.226,0.755,-1.106,0.246,-1.104,0.082,0.471,-0.857,0.552,-0.414,0.819,0.093,0.041,0.072,0.335,-0.138,-1.465,-0.146,-0.64,1.636,0.128,0.224,0.82,-0.411,-1.476,-0.749,0.025,0.715,0.798,0.896,-0.927,0.075,0.172,0.348,-1.54,-0.484,0.442,-0.048,-0.75,-0.76,0.208,-1.446,-0.575,-0.596,-1.138,0.396,0.075,0.108,-1.316,-0.928,-0.323,-0.176,-1.11,0.54,-1.479,-1.005,-1.21,1.044,-1.54,1.69,0.106,-0.643,-1.114,-0.494,-0.355,-0.821,-0.402,-1.416,-1.417,-1.341,-1.073,-0.27,"NON CANCER",0,4
"GSM850436",1.744,-0.399,-0.19,3.458,0,1.469,1.837,-0.821,-0.749,-0.722,0.182,0.532,0.874,0.825,1.23,-0.377,-0.908,-0.81,-0.966,-0.195,-1.088,0.304,0.155,0.496,2.078,-1.303,0.567,-0.882,-0.014,-1.037,0.1,2.145,-0.403,0.326,-0.278,-1.335,-0.333,0.307,-1.358,3.478,-0.424,-0.189,0,0.391,0.309,-1.385,-0.787,-1.415,-1.121,1.14,0.541,-1.027,-0.761,0.485,1.402,-0.964,0.016,1.52,0.873,-0.09,0.348,-0.936,-1.315,-0.86,-1.342,-1.193,-0.544,-0.884,1.248,-0.508,-1.461,3.237,0.326,-0.3,-1.196,0.872,-0.899,-0.324,-0.296,0.466,0.91,-1.205,-0.403,-0.225,0.004,0.402,-1.284,-1.234,-1.378,-1.262,1.425,1.115,-0.07,-1.413,0.827,-0.448,-0.941,0.192,-0.584,-0.206,"NON CANCER",0,5
"GSM572661",0.204,-0.24,-0.295,1.002,-1.141,1.427,0.065,-0.706,0.187,-1.053,-0.282,0.716,0.134,-0.218,1.036,-0.643,0.396,-0.854,-1.242,0.185,0.146,-0.098,-0.997,-1.012,0.221,-0.69,0.31,1.149,-0.342,-0.314,-0.266,0.062,-0.694,-0.181,-1.092,-0.98,0.954,-1.014,0.784,0.788,-0.366,-0.907,1.254,-0.393,-1.136,-1.264,-0.967,-0.336,-0.702,0.649,-0.454,-0.526,-0.808,-0.041,0.805,-1.009,1.495,-0.166,0.417,-0.298,0.708,-0.307,-1.223,-1.046,-0.626,-0.913,-0.967,-1.169,0.624,-1.347,-1.241,1.097,-0.997,-0.758,-0.533,-0.57,-0.248,-0.661,-0.822,-0.911,-0.532,-1.042,-0.486,-1.024,-0.596,-0.795,-0.928,1.819,-0.713,-1.418,-0.109,-0.074,-1.093,-1.345,-0.339,-1.193,-0.966,-0.552,-0.346,-0.872,"NON CANCER",0,1
"GSM277640",1.056,1.579,-0.727,-0.517,-0.919,-0.889,-0.762,-0.773,0.699,-0.802,-0.98,1.284,-0.929,1.668,1.121,-0.784,-0.022,-0.729,-0.878,-1.032,-0.7,-0.738,0.154,-0.857,-0.262,0.705,0.283,0.901,-0.627,0.904,-0.806,0.594,-0.732,-0.702,-0.429,-0.028,0.677,-0.915,1.427,-0.535,0.752,-0.36,-0.834,-0.67,-0.659,0.032,-0.62,0.808,0.698,0.005,0.527,-0.885,-1.04,-0.875,-0.368,0.536,0.791,-0.649,-0.765,0.06,-0.241,-0.119,-0.69,-0.737,0.536,-0.676,0.427,-0.738,-0.429,-0.815,-0.556,-0.968,-0.807,-0.647,-0.649,-0.674,-0.617,-0.921,-0.862,-0.883,-0.775,0.444,-1.072,-0.79,-0.752,-0.739,-0.761,1.615,-0.219,-0.58,-0.813,-1.017,-0.893,-0.756,-0.808,-0.57,-0.854,-0.996,-0.85,1.041,"CESC",1,2
"GSM647151",-0.002,1.025,-0.392,0.271,-0.385,0.845,0.555,-0.997,0.194,-0.906,-1.177,0.867,0.042,1.378,1.479,-0.703,1.211,-0.844,-0.948,-1.329,1.124,-0.756,-0.045,-0.764,-0.789,0.068,0.08,0.65,-0.153,1.057,-0.965,0.011,-1.8,-0.248,0.333,-0.538,0.332,0.248,1.025,0.27,-0.107,0.212,0.127,-0.544,-0.438,-0.394,-1.347,0.608,0.787,-0.683,0.149,-1.717,-1.397,-0.753,0.264,0.779,0.61,-1.49,-1.435,0.364,0.192,0.306,-0.228,-1.079,0.462,0.038,-1.379,-0.193,-0.182,1.414,-1.003,-0.719,-1.391,0.746,0.061,-1.087,-1.505,-0.979,-1.117,-1.024,-0.676,0.274,-1.6,-1.334,-0.067,-0.109,-2.057,1.452,0.204,0.013,-1.043,-0.898,-1.443,-1.431,-0.392,-0.348,-1.76,-1.349,-1.758,0.461,"NON CANCER",0,3
"GSM337117",1.575,-0.143,-0.338,0.812,-1.051,0.683,0.52,-0.721,-0.693,-0.98,-0.489,0.189,0.071,-0.044,0.463,-0.791,-0.463,-0.805,-0.981,-0.432,-0.166,-0.176,-0.883,-0.937,0.686,-0.798,-0.363,0.503,-0.996,-0.3,-0.767,0.495,-0.824,-0.511,0.582,-1.11,-0.552,2.847,0.64,0.302,-0.546,-0.717,-0.456,-1.127,-1.2,-1.1,-0.848,-0.47,-0.363,0.551,-0.5,-0.872,-0.858,-0.25,0.065,-0.999,1.569,-0.048,0.284,-0.286,0.434,-1.084,-0.633,-0.881,-0.813,-0.104,-0.398,-1.044,0.589,-1.148,-1.151,0.378,-0.694,-1.126,-1.091,-1.033,-0.965,-0.527,-1.064,-0.739,-0.997,0.078,-0.793,-1.045,0.174,-0.098,-1.001,1.405,-1.151,-1.176,0.264,-0.736,-1.029,-1.218,-0.939,-0.89,-0.888,-0.459,-0.803,-0.424,"NON CANCER",0,4
"GSM790402",1.274,1.367,-0.384,0.531,-0.835,-0.038,-0.024,-0.871,-1.493,-1.147,-0.682,1.04,0.146,1.023,1.163,-0.359,0.677,-1.013,-0.28,-1.048,-0.151,-0.658,-0.287,-1.246,0.186,0.359,0.391,1.163,-0.923,1.138,-0.53,0.264,-1.17,-0.309,-0.614,0.001,0.434,-0.782,0.898,0.38,0.43,0.131,-0.699,-0.301,-0.734,-0.682,-1.449,0.535,0.737,0.704,0.679,-0.201,-1.493,-1.066,0.477,0.634,0.93,-1.194,-1.246,0.309,0.488,0.181,0.089,-0.981,0.471,-0.666,0.609,-1.493,-0.141,-0.772,-1.219,-0.6,-1.17,-0.156,-0.454,-0.24,-0.351,-0.444,-0.707,-0.363,-0.507,0.614,-1.493,-1.493,-1.493,0.259,-0.752,1.508,-0.053,-0.883,-0.896,-0.231,-0.518,-1.493,-1.408,-0.076,-1.493,-1.194,-0.507,0.046,"BLCA",1,5
