"G1.CEL"	"G2.CEL"	"G3.CEL"	"N1.CEL"	"N2.CEL"	"N3.CEL"
"1007_s_at"	10.64745491784	11.5601355228585	11.1871358549658	10.398837147566	10.3099251339844	10.1606556639414
"1053_at"	9.02527777326618	8.49041208822319	8.73350659456367	8.16508667492709	8.12885172449709	8.33781612469534
"117_at"	8.23131911255734	7.85507451026678	8.62233187369723	7.81152334427753	7.87353841914744	7.94320005975392
"121_at"	8.71918010371108	8.13998734143263	8.21210904088507	8.78756399594441	8.77119435173941	8.42687413697018
"1255_g_at"	7.30018598450203	7.38511601783732	7.3144524730709	8.33293420029742	7.92460534166394	7.97150876951483
"1294_at"	8.6451280340001	8.60489473111584	8.38487513423262	8.02565371834984	8.08819038596829	8.09952616203756
"1316_at"	7.64833222301336	7.9031738952985	7.82820190453375	8.2023969798428	7.99786208757529	8.29706311792503
"1320_at"	7.50449604670049	7.50409362238586	7.66513815034618	7.49285179951762	7.43993085717293	7.57741397802504
"1405_i_at"	7.41538962070913	7.80220519705577	7.81536430730813	7.63413667416436	7.63069223909236	7.88017522395737
"1431_at"	7.47774299299275	7.48035338507998	7.53398223930099	7.62913426580714	7.76634061513326	7.77233735080522
"1438_at"	7.73975430751972	7.71795638119277	7.61361125836744	7.81955205787785	7.65957668419143	7.89385548940218
"1487_at"	8.10132776202237	8.02767566803506	7.92066652898514	7.86004336830074	7.85651957592593	8.03103919852561
"1494_f_at"	7.6267068499192	7.64442229208121	7.5843149278929	7.6964468462274	7.85993261694789	7.93964846768801
"1598_g_at"	9.34179648829561	9.48266991371006	9.00613428205224	9.42243362241146	9.59066280681128	9.28269204510123
"160020_at"	8.50719808952013	8.91305284296312	8.64750124167324	8.04432302399689	8.23557368969564	8.17579663362196
"1729_at"	8.85560396316263	8.59907829760788	8.4641908965517	8.30747235501208	8.29064856185265	8.20369995400432
"177_at"	7.59883164031761	7.71974150255678	7.68921391304139	7.66063769188492	7.81417220158004	7.55843187976394
"1773_at"	8.08042862321842	8.11945907515051	8.30962611831833	7.67505164834634	7.8640450499877	7.90816644375891
"179_at"	8.23229631300529	8.17183523877473	8.10801681116823	8.42945105775514	8.44908197817437	8.31922271830969
"1861_at"	8.59492249163692	8.37432473006129	8.24107280295194	8.87561866904355	8.74126621448607	8.46986744135672
"200000_s_at"	10.2510223010586	10.5754558855374	10.6636276045073	10.4586608548493	10.4449480411255	10.7810478680698
"200001_at"	11.4430241976245	11.3634007057147	10.9484425089525	11.2087885997397	11.1435810257426	11.2502025280037
"200002_at"	12.7970552362828	12.5217374505893	12.5998563876325	12.494670596826	12.5721009685324	11.7244989684697
"200003_s_at"	13.304322795606	13.1920861846798	13.2072846668956	13.0552626661208	12.9438134682865	12.6995431765843
"200004_at"	12.2430673495319	12.4423832637265	12.2681272010022	11.6840042645662	11.6076714640121	11.679848329602
"200005_at"	10.6315489492159	10.7576945340547	10.80612222339	10.1959536199715	10.226123675855	10.1668839179751
"200006_at"	12.8244879544793	12.4600070946195	12.3592754150427	12.4912134618324	12.5402670974943	12.470214284912
"200007_at"	12.5170727158727	12.2042429368745	12.3352754753183	12.247239799933	12.1510746602945	12.2910714315254
"200008_s_at"	10.5139297009594	10.4012511273012	10.7528052251367	10.3049068057488	9.678519398332	9.91017620884139
"200009_at"	12.2822347632011	12.1373980702434	11.6717320103951	12.0890350170979	11.8780321673227	11.790389171469
"200010_at"	12.1799638507851	12.2203656229812	12.5394288860569	11.6139922407236	11.5982856101558	11.3126749804595
"200011_s_at"	10.9450697607162	11.2909087989728	10.7527576159002	11.831727608556	11.8155196392514	12.3848400950901
"200012_x_at"	13.3863736981089	13.5890878347785	13.2996764235145	13.7882828112904	13.8156751545069	13.4440961755302
"200013_at"	12.9062771720211	12.578160145298	12.5508822639314	12.8451642105382	12.7636074841698	12.2677872630425
"200014_s_at"	11.456362985572	11.4060972191023	11.7772028469995	11.1718824949018	11.1303710915152	11.1085983167507
"200015_s_at"	12.3010273270897	12.2694530194094	11.8393750402349	11.2267793958932	11.3477919091004	11.0760372799285
"200016_x_at"	12.9120730193895	13.1119101686583	12.9406590179866	12.7728562527012	12.7446546281558	12.9349068213579
"200017_at"	12.8399533546423	12.9399788940797	12.9282229652045	13.1777931351105	13.0588713672927	12.9747742400549
"200018_at"	13.0563590974928	13.0840468348548	13.1976840592887	13.116189665128	13.157777161502	12.5101113069824
"200019_s_at"	12.933962601535	13.028664107414	12.5856535389242	13.3040219599073	13.3779909489393	12.7082046531222
"200020_at"	10.2535056892993	10.3131234968532	10.4416463538804	9.41110124952626	9.36398031222582	9.63432792064318
"200021_at"	13.6720190062384	13.7518266750706	13.5954215261048	13.6006000262697	13.5133992647704	13.7391011578118
"200022_at"	13.3932871874269	12.9248891274157	13.168555736325	13.0240415188002	12.9130514465795	12.3497995437486
"200023_s_at"	11.3441875955376	11.3745877555285	11.2864503956498	11.3766952654326	11.3796066010314	10.9378170972981
"200024_at"	12.7260543701376	12.4224830740947	12.7245772806612	12.4751852923928	12.4257126694102	11.6537744163495
"200025_s_at"	13.3534315424561	13.2814103480508	13.1786468937309	13.2189260418103	13.2760566549698	12.7726050919943
"200026_at"	13.3606744433085	13.3543825235698	13.6168053777407	13.5542820751983	13.5062141432575	13.3767670537675
"200027_at"	11.6893641580174	11.6005043018959	11.5446790643214	11.8019853671266	11.7625823569273	12.0567324661213
"200028_s_at"	11.4189143673735	11.4404796277041	11.5443752642662	11.7275453322113	11.5889274964336	11.4929270511623
"200029_at"	13.1796789798859	13.2317704259679	13.2436823089686	13.3219033876301	13.3583790230318	12.8963369771006
"200030_s_at"	12.7686204256776	12.7118073957362	12.1796292221902	12.8899918588134	12.801345939221	12.8947870008123
"200031_s_at"	13.7502971928967	13.6647496905827	13.6664535356867	13.6389975850104	13.6554604123149	13.2268152916249
"200032_s_at"	13.5360913644974	13.4326927336047	13.4937234251556	13.6716008359598	13.5952519509657	13.0640732822934
"200033_at"	12.2104203695651	11.8203103421215	12.1596528689529	10.8745587105057	11.0155694933783	11.1421309702115
"200034_s_at"	12.735090807635	12.7188358946108	12.6044298430923	12.5203638471965	12.529109183705	12.5127118822226
"200035_at"	9.27274251162116	9.62164262081949	9.28936123912574	9.1172967704589	9.03522498497926	8.91054891856111
"200036_s_at"	12.4819946946578	12.3824184467577	12.4100621099701	12.8625316476634	12.7079023838829	12.2138457692739
"200037_s_at"	11.673748435151	11.5109607855233	11.9176177999019	11.0166640020788	10.7583277015717	10.4310948286336
"200038_s_at"	13.1275197959602	13.2001112916516	13.1455993667287	13.3903497146049	13.2459483607498	12.9404751288453
"200039_s_at"	11.9581783874484	11.3294039652255	11.188795030518	10.9929796339144	10.9123340382668	10.90401185792
