"Row"	"Gene ID"	"Gene Name"	"Score(d)"	"Numerator(r)"	"Denominator(s+s0)"	"Fold Change"	"q-value(%)"
"1"	"20636"	"g20635"	"g20635"	"36.5525431277871"	"1.56732753867167"	"0.042878754925268"	"2.96355234238741"	"0"
"2"	"13376"	"g13375"	"g13375"	"30.9754115591201"	"1.24178722733858"	"0.0400894504652016"	"2.36491319081816"	"0"
"3"	"16300"	"g16299"	"g16299"	"26.9533990852271"	"0.746392299680513"	"0.027691954447764"	"1.67759248019101"	"0"
"4"	"18505"	"g18504"	"g18504"	"26.0601240802168"	"2.26233396089704"	"0.0868120947518611"	"4.79767011076106"	"0"
"5"	"10248"	"g10247"	"g10247"	"25.7438088585676"	"0.418763887242426"	"0.0162665862515935"	"1.3367816986159"	"0"
"6"	"8420"	"g8419"	"g8419"	"24.5064113927261"	"0.513256972369799"	"0.0209437834101709"	"1.42726870771439"	"0"
"7"	"6433"	"g6432"	"g6432"	"24.3893443548593"	"1.05716135537205"	"0.0433452142046376"	"2.08083324670696"	"0"
"8"	"5042"	"g5041"	"g5041"	"21.7026003439214"	"0.98121326954314"	"0.0452117835648191"	"1.97412489952445"	"0"
"9"	"6330"	"g6329"	"g6329"	"21.5471054299927"	"2.05888343108193"	"0.0955526689081891"	"4.16663704058817"	"0"
"10"	"5427"	"g5426"	"g5426"	"21.5002063534867"	"1.20821412481938"	"0.0561954664506485"	"2.31051447025181"	"0"
"11"	"19395"	"g19394"	"g19394"	"20.168670320801"	"1.41753335151672"	"0.0702839269505406"	"2.67128397398101"	"0"
"12"	"5166"	"g5165"	"g5165"	"20.038400834372"	"1.91905570566195"	"0.0957689049901715"	"3.78175448612962"	"0"
"13"	"1233"	"g1232"	"g1232"	"19.9848307290209"	"1.35321152023255"	"0.0677119330446709"	"2.55480206235069"	"0"
"14"	"9332"	"g9331"	"g9331"	"19.9845396060266"	"1.04230827652134"	"0.0521557312337093"	"2.05952020019213"	"0"
"15"	"5902"	"g5901"	"g5901"	"19.7601741473883"	"1.17002437934075"	"0.059211238251936"	"2.25015499323594"	"0"
"16"	"6217"	"g6216"	"g6216"	"19.5878267653639"	"1.20066131602556"	"0.0612963005241921"	"2.29845005355469"	"0"
"17"	"6182"	"g6181"	"g6181"	"19.3746840917762"	"1.28215989416305"	"0.0661770735506998"	"2.43202809356162"	"0"
"18"	"1228"	"g1227"	"g1227"	"19.2879387897658"	"0.377984325377399"	"0.0195969268410349"	"1.29952494327354"	"0"
"19"	"6676"	"g6675"	"g6675"	"18.8659474515435"	"1.09129960058734"	"0.0578449401171241"	"2.13065882901831"	"0"
"20"	"11802"	"g11801"	"g11801"	"18.842457217873"	"0.778544050781965"	"0.0413186051999352"	"1.71539884067656"	"0"
"21"	"22067"	"g22066"	"g22066"	"18.5672559365131"	"1.29696377219186"	"0.0698522052276635"	"2.4571122590717"	"0"
"22"	"20868"	"g20867"	"g20867"	"18.1889111231118"	"1.31981946806477"	"0.0725617635454676"	"2.49634869715922"	"0"
"23"	"21961"	"g21960"	"g21960"	"17.7668646981201"	"1.19654912963547"	"0.0673472303620392"	"2.29190799353101"	"0"
"24"	"13686"	"g13685"	"g13685"	"17.5804886259856"	"0.893085387857793"	"0.0507998046503513"	"1.8571436189183"	"0"
"25"	"7891"	"g7890"	"g7890"	"17.5347426216162"	"1.94071766602735"	"0.110678423282638"	"3.838965688903"	"0"
"26"	"20160"	"g20159"	"g20159"	"16.8650502808245"	"1.43865635038762"	"0.0853040060024821"	"2.71068289267874"	"0"
"27"	"18927"	"g18926"	"g18926"	"16.1298398953455"	"1.58879303743826"	"0.0985002360684765"	"3.00797596108052"	"0"
"28"	"5901"	"g5900"	"g5900"	"16.1227589378228"	"1.36700536502281"	"0.0847873103043124"	"2.57934609323833"	"0"
"29"	"4341"	"g4340"	"g4340"	"15.9900739803214"	"1.73064187933658"	"0.108232262181304"	"3.31875442460361"	"0"
"30"	"2384"	"g2383"	"g2383"	"15.9754541670016"	"1.36411223515883"	"0.0853880096865414"	"2.57417874629433"	"0"
"31"	"9829"	"g9828"	"g9828"	"15.9613131878692"	"0.681270057235634"	"0.0426825818914079"	"1.60355079843665"	"0"
"32"	"9462"	"g9461"	"g9461"	"15.586247683957"	"0.819680177319274"	"0.0525899622500529"	"1.76501467336108"	"0"
"33"	"9773"	"g9772"	"g9772"	"15.5137281326855"	"1.63529281562411"	"0.105409402668257"	"3.10650594590315"	"0"
"34"	"9860"	"g9859"	"g9859"	"15.1186562197176"	"1.93485754408933"	"0.127978142764164"	"3.82340371771492"	"0"
"35"	"7647"	"g7646"	"g7646"	"15.0306767075279"	"0.35662342760151"	"0.0237263720417125"	"1.28042560089368"	"0"
