gene chrom start end
ABCA1 chr9 107543282 107690518
ABCB1 chr7 87133174 87342611
ABCB11 chr2 169779447 169887832
ABCC1 chr16 16043433 16236931
ABCC2 chr10 101542488 101611949
ABCC4 chr13 95672082 95953687
ABCC6 chr16 16242784 16317379
ABCC8 chr11 17414431 17498449
ABCE1 chr4 146019083 146050331
ABCG1 chr21 43619798 43717354
ABCG2 chr4 89011415 89152474
ADH1A chr4 100197523 100212185
ADH1C chr4 100257648 100274184
ADIPOR1 chr1 202909950 202927700
AHR chr7 17338245 17385776
ALDH1A1 chr9 75515577 75695358
ANAPC10 chr4 145888263 146019693
ANKFY1 chr17 4067200 4167274
APOA2 chr1 161192081 161193421
CDCP2 chr1 54598746 54619443
CDPF1 chr22 46639907 46646576
CEBPA chr19 33790839 33793470
CEBPA-AS1 chr19 33793762 33795960
CEBPB chr20 48807375 48809212
CES1 chr16 55836762 55867249
CES2 chr16 66968346 66978999
CFTR chr7 117105837 117356025
CHD3 chr17 7788123 7816078
COMT chr22 19929129 19957498
CPSF4 chr7 99036544 99054994
CTLA4 chr2 204732508 204738683
CYB5A chr18 71920529 71959251
CYB5D1 chr17 7761063 7765600
CYB5D2 chr17 4046461 4090605
CYB5R1 chr1 202930996 202936408
CYB5R2 chr11 7686330 7698453
CYB5R3 chr22 43013845 43045574
CYB5R4 chr6 84569361 84677143
CYB5RL chr1 54638008 54665709
CYP17A1 chr10 104590287 104597290
CYP1A1 chr15 75011882 75017951
CYP1A2 chr15 75041184 75048543
CYP2A6 chr19 41349442 41356352
CYP2B6 chr19 41497203 41524303
CYP2C19 chr10 96447910 96613017
CYP2C8 chr10 96796529 96829254
CYP2C9 chr10 96698414 96749147
CYP2D6 chr22 42522500 42526908
CYP2E1 chr10 135333909 135374724
CYP2J2 chr1 60358979 60392462
CYP2R1 chr11 14899552 14913798
CYP3A4 chr7 99354603 99381888
CYP3A43 chr7 99425635 99463718
CYP3A5 chr7 99245816 99277621
CYP3A7 chr7 99302659 99332819
CYP4A11 chr1 47394848 47407156
CYP4F2 chr19 15988832 16008930
CYP7A1 chr8 59402736 59412795
DPYD chr1 97543298 98386605
EPHX1 chr1 225997793 226033260
FAM200A chr7 99143930 99156159
FCER1G chr1 161185023 161190489
FOXA2 chr20 22561642 22566093
GSK3B chr3 119540169 119813264
GSTM1 chr1 110230435 110251661
GSTP1 chr11 67351065 67354131
GSTT1 chr22 24376132 24384680
HNF4A chr20 42984339 43061485
HOOK1 chr1 60280457 60342050
IL10 chr1 206940946 206945839
IL18 chr11 112013973 112034840
IL3 chr5 131396221 131398897
IL6 chr7 22765502 22771621
KCNJ11 chr11 17407405 17410878
KDM6B chr17 7743221 7758114
LINC00261 chr20 22528308 22559280
LSMD1 chr17 7760002 7788556
MAATS1 chr3 119421868 119485949
MRPL37 chr1 54649713 54691137
NAT1 chr8 18027985 18081198
NAT2 chr8 18248754 18258728
NCOR1 chr17 15932470 16121499
NDUFS2 chr1 161166893 161184185
NR1I2 chr3 119499330 119537332
NR1I3 chr1 161199455 161208092
NR3C1 chr5 142657495 142815077
OR2AE1 chr7 99473609 99474680
OTUD4 chr4 146031989 146101313
OVCH2 chr11 7710668 7727968
PIGL chr17 16120504 16252115
PKD2 chr4 88928819 88998929
PKDREJ chr22 46651559 46659219
POLDIP3 chr22 42979726 43010968
PON1 chr7 94926987 95025673
POR chr7 75528517 75616173
PPARA chr22 46546423 46639653
PPFIBP2 chr11 7534528 7678358
PTCD1 chr7 99014361 99063787
R3HDML chr20 42965625 42979875
RIPPLY2 chr6 84562984 84567234
RNU12 chr22 43011249 43011913
RUNDC3B chr7 87256863 87461611
SLC15A1 chr13 99336054 99404908
SLC15A2 chr3 121612935 121662949
SLC19A1 chr21 46913485 46964325
SLC22A1 chr6 160542820 160579750
SLC22A3 chr6 160769299 160876014
SLC22A6 chr11 62703856 62752455
SLC25A29 chr14 100757447 100772884
SLC47A1 chr17 19398697 19482347
SLC47A2 chr17 19581600 19622292
SLCO1A2 chr12 21417533 21572528
SLCO1B1 chr12 21284135 21392180
SLCO1B3 chr12 20963635 21243040
SOD2 chr6 160090088 160183561
STYXL1 chr7 75625655 75677322
SULT1A1 chr16 28616902 28634946
TLR4 chr9 120466609 120479149
TMEM120A chr7 75616154 75623977
TMEM88 chr17 7758382 7759417
TOMM40L chr1 161195792 161200408
TPMT chr6 18128541 18155305
TTC19 chr17 15902693 15948329
UGT1A4 chr2 234627423 234681945
UGT1A9 chr2 234580498 234681946
UGT2B15 chr4 69512347 69536346
VDR chr12 48235319 48336831
YY1 chr14 100704634 100749129
ZKSCAN5 chr7 99102273 99132323
ZNF789 chr7 99070463 99101273
ZSCAN25 chr7 99214568 99230030
